2.0	,0.16783340543051806
2.0	,0.22246390901288793
2.0	,0.13601719112257993
2.0	,0.3326102642086605
2.0	,0.2569231992503825
2.0	,0.155070720325083
2.0	,0.1340933280241057
2.0	,0.14289401598677448
2.0	,0.17274649079447585
2.0	,0.11280499352277046
2.0	,0.16904264019455273
2.0	,0.16243147690885096
2.0	,0.09535289178692173
2.0	,0.43076565689825824
2.0	,0.4056155572793404
2.0	,0.12838863638497414
2.0	,0.14233636605142544
2.0	,0.15759215292518314
2.0	,0.36847031751114206
2.0	,0.18067764482557977
2.0	,0.17997531248187654
2.0	,0.3151143170882866
2.0	,0.14304166476367808
2.0	,0.18675644704145813
2.0	,0.19604764549760081
2.0	,0.5813246386532395
2.0	,0.09975351562544117
2.0	,0.20288513818553125
2.0	,0.13166396002482333
2.0	,0.10709329674614276
2.0	,0.18443017405461384
2.0	,0.14568971373537024
2.0	,0.1456262047635109
2.0	,0.33603279830895333
2.0	,0.09871008758221815
2.0	,0.07933320325522226
2.0	,0.17239912800825707
2.0	,0.17276708638642096
2.0	,0.21613716917656164
2.0	,0.4036201634793676
2.0	,0.13628196980945662
2.0	,0.2895869848138442
2.0	,0.16327887503029864
2.0	,0.3463953556490673
2.0	,0.12833219591162504
2.0	,0.2692147449217234
2.0	,0.1916414444072916
2.0	,0.12256791713275723
2.0	,0.07286141229864852
2.0	,0.13709500458254834
2.0	,0.3612049452568359
2.0	,0.12115087395390603
2.0	,0.21720803155815668
2.0	,0.11815270845603584
2.0	,0.08633168038498393
2.0	,0.11101122576776858
2.0	,0.0928909265159014
2.0	,0.07441733923553531
2.0	,0.16992242362369583
3.0	,0.9708771542274635
1.0	,0.7430215625652417
1.0	,0.3776289679210689
3.0	,0.3663272276964678
3.0	,0.37828850482385257
3.0	,0.3222805855052035
3.0	,0.1888726707027018
3.0	,0.49485101884837324
3.0	,0.21950948700724543
1.0	,0.6084440497914152
3.0	,0.8660968774820668
1.0	,0.40042136077437535
3.0	,0.5305154138514719
3.0	,0.2535045471934049
2.0	,0.7336480891494055
3.0	,0.4417392751406648
3.0	,0.2990393403030693
3.0	,0.34135236965475385
3.0	,0.2731420823866589
3.0	,0.5794635588009117
3.0	,0.29049718250854945
3.0	,0.1879863365499126
3.0	,0.11165927365465153
3.0	,0.20847100479210443
1.0	,0.24133665854860822
3.0	,0.25959739613537464
3.0	,0.11615749917412452
3.0	,0.18997782690572482
3.0	,0.2810156275072545
3.0	,0.16792269687236078
3.0	,0.18365389710290886
3.0	,0.2623400374767283
3.0	,0.24611796593824878
1.0	,0.44207769165697036
3.0	,0.15245633375691733
3.0	,0.2479579660257872
2.0	,0.8282720333012777
3.0	,0.6300208437363843
3.0	,0.1374585973327414
3.0	,0.42178303571737985
3.0	,0.4036794974122458
3.0	,0.19811698438890035
3.0	,0.21077904761597346
3.0	,0.13222121101053186
3.0	,0.12799646101541612
3.0	,0.12511240120687672
3.0	,0.49636456298110804
3.0	,0.09703865559536815
3.0	,0.2604666829012373
3.0	,0.11948183229388144
3.0	,0.2718632285196781
3.0	,0.8167107600334682
3.0	,0.11907545751178158
3.0	,0.5269012571109971
3.0	,0.19840771202359472
3.0	,0.15739326802943693
3.0	,0.5258920792858075
3.0	,0.12341894954650312
3.0	,0.0785718982029663
1.0	,0.3372759404961297
3.0	,0.18281720145054184
3.0	,0.21550391940404137
3.0	,1.2649468929368266
3.0	,0.4865509215567381
3.0	,0.7751780854069865
3.0	,0.6921181365464747
3.0	,0.10389061741238328
3.0	,0.20369665583846586
3.0	,0.5021407444207029
3.0	,0.1143148888571645
3.0	,0.35882067870953716
1.0	,0.5400748709938942
1.0	,0.2464324139223654
1.0	,0.26117594707502373
1.0	,0.3874155487189797
1.0	,0.34110345725290897
1.0	,0.1850231604179587
1.0	,0.3089656815492215
1.0	,0.4460053169748631
1.0	,0.13668512654852713
1.0	,0.19688677441083147
1.0	,0.16371474428681915
1.0	,0.203804006357493
1.0	,0.19448365800364914
1.0	,0.25611151141262084
1.0	,0.2856785536062462
1.0	,0.13413843646461918
1.0	,0.4211196048559328
1.0	,0.14380757645018846
1.0	,0.05418035533771827
1.0	,0.19927176496700214
1.0	,0.41439962676954994
1.0	,0.39253834646927677
1.0	,0.4279938910288351
1.0	,0.2780326546539926
1.0	,0.24071813064397096
1.0	,0.29958755557665634
1.0	,0.16959610722402343
1.0	,0.2908954511523078
1.0	,0.9680225671153136
1.0	,0.5607189234391359
1.0	,0.1485316900062293
1.0	,0.11448858722690171
1.0	,0.1519756173463835
1.0	,0.07879778239683422
1.0	,0.12831656991998636
1.0	,0.15822224247941996
1.0	,0.19145468170242558
1.0	,0.134027419620212
1.0	,0.15466110492723056
1.0	,0.369750743826594
1.0	,0.15349704955876725
1.0	,0.19363972059418647
1.0	,0.1713710894423372
1.0	,0.302496396160548
1.0	,0.06548467908674681
1.0	,0.23719467910223796
1.0	,0.17509524243664537
1.0	,0.2783208163081659
